elevation,system:index,name
0,0,node0
0,1,node1
0,2,node2
5,3,node3
12,4,node4
0,5,node5
0,6,node6
17,7,node7
0,8,node8
10,9,node9
0,10,node10
0,11,node11
0,12,node12
5,13,node13
9,14,node14
43,15,node15
15,16,node16
0,17,node17
6,18,node18
0,19,node19
0,20,node20
0,21,node21
0,22,node22
94,23,node23
40,24,node24
0,25,node25
0,26,node26
0,27,node27
0,28,node28
12,29,node29
8,30,node30
54,31,node31
17,32,node32
0,33,node33
0,34,node34
0,35,node35
24,36,node36
14,37,node37
0,38,node38
0,39,node39
0,40,node40
16,41,node41
14,42,node42
0,43,node43
33,44,node44
1,45,node45
0,46,node46
0,47,node47
0,48,node48
0,49,node49
10,50,node50
0,51,node51
11,52,node52
20,53,node53
7,54,node54
0,55,node55
0,56,node56
6,57,node57
0,58,node58
13,59,node59
14,60,node60
22,61,node61
10,62,node62
20,63,node63
0,64,node64
7,65,node65
0,66,node66
21,67,node67
0,68,node68
0,69,node69
17,70,node70
9,71,node71
0,72,node72
7,73,node73
9,74,node74
14,75,node75
0,76,node76
0,77,node77
19,78,node78
0,79,node79
13,80,node80
0,81,node81
35,82,node82
23,83,node83
8,84,node84
4,85,node85
17,86,node86
0,87,node87
0,88,node88
5,89,node89
15,90,node90
22,91,node91
11,92,node92
7,93,node93
0,94,node94
0,95,node95
12,96,node96
0,97,node97
27,98,node98
0,99,node99
8,100,node100
0,101,node101
0,102,node102
0,103,node103
0,104,node104
0,105,node105
0,106,node106
55,107,node107
0,108,node108
0,109,node109
0,110,node110
12,111,node111
10,112,node112
8,113,node113
10,114,node114
13,115,node115
36,116,node116
0,117,node117
0,118,node118
0,119,node119
2,120,node120
28,121,node121
0,122,node122
0,123,node123
0,124,node124
0,125,node125
13,126,node126
101,127,node127
13,128,node128
12,129,node129
38,130,node130
0,131,node131
0,132,node132
0,133,node133
14,134,node134
0,135,node135
17,136,node136
0,137,node137
25,138,node138
16,139,node139
49,140,node140
7,141,node141
0,142,node142
19,143,node143
0,144,node144
15,145,node145
0,146,node146
7,147,node147
0,148,node148
0,149,node149
0,150,node150
0,151,node151
32,152,node152
22,153,node153
10,154,node154
5,155,node155
25,156,node156
17,157,node157
0,158,node158
0,159,node159
0,160,node160
46,161,node161
0,162,node162
6,163,node163
0,164,node164
8,165,node165
0,166,node166
0,167,node167
0,168,node168
0,169,node169
0,170,node170
0,171,node171
79,172,node172
0,173,node173
0,174,node174
6,175,node175
0,176,node176
11,177,node177
0,178,node178
6,179,node179
3,180,node180
14,181,node181
12,182,node182
0,183,node183
3,184,node184
69,185,node185
0,186,node186
0,187,node187
12,188,node188
45,189,node189
13,190,node190
0,191,node191
0,192,node192
13,193,node193
0,194,node194
14,195,node195
0,196,node196
0,197,node197
0,198,node198
0,199,node199
0,200,node200
0,201,node201
0,202,node202
5,203,node203
25,204,node204
0,205,node205
0,206,node206
0,207,node207
6,208,node208
19,209,node209
0,210,node210
9,211,node211
0,212,node212
0,213,node213
9,214,node214
0,215,node215
30,216,node216
0,217,node217
0,218,node218
24,219,node219
0,220,node220
0,221,node221
0,222,node222
7,223,node223
11,224,node224
0,225,node225
0,226,node226
0,227,node227
0,228,node228
11,229,node229
0,230,node230
0,231,node231
0,232,node232
12,233,node233
0,234,node234
0,235,node235
14,236,node236
9,237,node237
3,238,node238
51,239,node239
0,240,node240
0,241,node241
0,242,node242
0,243,node243
0,244,node244
15,245,node245
60,246,node246
0,247,node247
0,248,node248
0,249,node249
19,250,node250
0,251,node251
0,252,node252
0,253,node253
0,254,node254
0,255,node255
0,256,node256
0,257,node257
55,258,node258
0,259,node259
0,260,node260
39,261,node261
0,262,node262
6,263,node263
1,264,node264
0,265,node265
0,266,node266
14,267,node267
0,268,node268
0,269,node269
19,270,node270
0,271,node271
6,272,node272
4,273,node273
0,274,node274
7,275,node275
0,276,node276
24,277,node277
0,278,node278
11,279,node279
0,280,node280
9,281,node281
0,282,node282
123,283,node283
0,284,node284
27,285,node285
12,286,node286
0,287,node287
0,288,node288
0,289,node289
80,290,node290
18,291,node291
0,292,node292
0,293,node293
0,294,node294
32,295,node295
10,296,node296
24,297,node297
0,298,node298
19,299,node299
2,300,node300
0,301,node301
0,302,node302
24,303,node303
0,304,node304
25,305,node305
29,306,node306
10,307,node307
10,308,node308
8,309,node309
25,310,node310
0,311,node311
0,312,node312
0,313,node313
0,314,node314
0,315,node315
6,316,node316
0,317,node317
15,318,node318
0,319,node319
10,320,node320
