elevation,system:index,name
37,0,node0
37,1,node1
37,2,node2
37,3,node3
37,4,node4
37,5,node5
37,6,node6
37,7,node7
37,8,node8
37,9,node9
37,10,node10
37,11,node11
37,12,node12
37,13,node13
37,14,node14
37,15,node15
37,16,node16
37,17,node17
37,18,node18
37,19,node19
37,20,node20
37,21,node21
37,22,node22
37,23,node23
37,24,node24
37,25,node25
37,26,node26
37,27,node27
37,28,node28
37,29,node29
37,30,node30
37,31,node31
37,32,node32
37,33,node33
37,34,node34
37,35,node35
37,36,node36
37,37,node37
37,38,node38
37,39,node39
37,40,node40
37,41,node41
37,42,node42
37,43,node43
37,44,node44
37,45,node45
37,46,node46
37,47,node47
36,48,node48
38,49,node49
40,50,node50
43,51,node51
44,52,node52
41,53,node53
39,54,node54
40,55,node55
37,56,node56
37,57,node57
37,58,node58
37,59,node59
37,60,node60
37,61,node61
37,62,node62
37,63,node63
39,64,node64
37,65,node65
42,66,node66
32,67,node67
43,68,node68
38,69,node69
35,70,node70
37,71,node71
37,72,node72
37,73,node73
37,74,node74
37,75,node75
37,76,node76
37,77,node77
37,78,node78
37,79,node79
45,80,node80
45,81,node81
36,82,node82
37,83,node83
39,84,node84
34,85,node85
32,86,node86
32,87,node87
37,88,node88
37,89,node89
37,90,node90
37,91,node91
37,92,node92
37,93,node93
37,94,node94
37,95,node95
37,96,node96
37,97,node97
37,98,node98
37,99,node99
37,100,node100
37,101,node101
37,102,node102
37,103,node103
37,104,node104
37,105,node105
37,106,node106
37,107,node107
37,108,node108
37,109,node109
37,110,node110
37,111,node111
37,112,node112
37,113,node113
37,114,node114
37,115,node115
37,116,node116
37,117,node117
37,118,node118
37,119,node119
37,120,node120
37,121,node121
37,122,node122
37,123,node123
37,124,node124
37,125,node125
37,126,node126
37,127,node127
37,128,node128
37,129,node129
37,130,node130
37,131,node131
37,132,node132
37,133,node133
37,134,node134
37,135,node135
34,136,node136
36,137,node137
32,138,node138
36,139,node139
36,140,node140
45,141,node141
39,142,node142
39,143,node143
37,144,node144
37,145,node145
37,146,node146
37,147,node147
37,148,node148
37,149,node149
37,150,node150
37,151,node151
37,152,node152
37,153,node153
37,154,node154
37,155,node155
37,156,node156
37,157,node157
37,158,node158
37,159,node159
37,160,node160
37,161,node161
37,162,node162
39,163,node163
36,164,node164
38,165,node165
38,166,node166
38,167,node167
40,168,node168
34,169,node169
36,170,node170
35,171,node171
33,172,node172
34,173,node173
37,174,node174
34,175,node175
31,176,node176
37,177,node177
40,178,node178
37,179,node179
40,180,node180
35,181,node181
35,182,node182
49,183,node183
37,184,node184
37,185,node185
37,186,node186
37,187,node187
37,188,node188
37,189,node189
37,190,node190
37,191,node191
37,192,node192
37,193,node193
37,194,node194
37,195,node195
37,196,node196
37,197,node197
37,198,node198
37,199,node199
42,200,node200
37,201,node201
42,202,node202
36,203,node203
40,204,node204
40,205,node205
37,206,node206
37,207,node207
36,208,node208
38,209,node209
36,210,node210
38,211,node211
36,212,node212
35,213,node213
36,214,node214
40,215,node215
44,216,node216
34,217,node217
32,218,node218
36,219,node219
33,220,node220
43,221,node221
30,222,node222
37,223,node223
32,224,node224
45,225,node225
34,226,node226
37,227,node227
29,228,node228
37,229,node229
38,230,node230
39,231,node231
32,232,node232
38,233,node233
38,234,node234
40,235,node235
42,236,node236
48,237,node237
45,238,node238
36,239,node239
43,240,node240
34,241,node241
37,242,node242
48,243,node243
43,244,node244
39,245,node245
34,246,node246
37,247,node247
44,248,node248
36,249,node249
32,250,node250
42,251,node251
37,252,node252
34,253,node253
34,254,node254
40,255,node255
37,256,node256
37,257,node257
37,258,node258
37,259,node259
37,260,node260
37,261,node261
37,262,node262
37,263,node263
37,264,node264
37,265,node265
37,266,node266
37,267,node267
37,268,node268
37,269,node269
37,270,node270
37,271,node271
37,272,node272
37,273,node273
37,274,node274
37,275,node275
37,276,node276
37,277,node277
37,278,node278
37,279,node279
38,280,node280
46,281,node281
37,282,node282
43,283,node283
38,284,node284
40,285,node285
34,286,node286
42,287,node287
36,288,node288
34,289,node289
46,290,node290
40,291,node291
35,292,node292
44,293,node293
37,294,node294
37,295,node295
40,296,node296
38,297,node297
41,298,node298
35,299,node299
37,300,node300
35,301,node301
32,302,node302
49,303,node303
38,304,node304
40,305,node305
35,306,node306
38,307,node307
37,308,node308
36,309,node309
37,310,node310
30,311,node311
35,312,node312
36,313,node313
36,314,node314
37,315,node315
40,316,node316
40,317,node317
35,318,node318
40,319,node319
36,320,node320
37,321,node321
42,322,node322
45,323,node323
30,324,node324
37,325,node325
40,326,node326
36,327,node327
36,328,node328
36,329,node329
38,330,node330
29,331,node331
32,332,node332
36,333,node333
40,334,node334
36,335,node335
37,336,node336
