elevation,system:index,name
0,0,node0
4,1,node1
5,2,node2
59,3,node3
5,4,node4
80,5,node5
4,6,node6
0,7,node7
239,8,node8
32,9,node9
10,10,node10
6,11,node11
10,12,node12
412,13,node13
4,14,node14
41,15,node15
9,16,node16
0,17,node17
7,18,node18
21,19,node19
0,20,node20
28,21,node21
7,22,node22
5,23,node23
0,24,node24
10,25,node25
82,26,node26
19,27,node27
5,28,node28
37,29,node29
5,30,node30
198,31,node31
0,32,node32
3,33,node33
0,34,node34
94,35,node35
0,36,node36
6,37,node37
0,38,node38
0,39,node39
33,40,node40
3,41,node41
46,42,node42
11,43,node43
4,44,node44
116,45,node45
6,46,node46
70,47,node47
0,48,node48
0,49,node49
0,50,node50
0,51,node51
87,52,node52
6,53,node53
4,54,node54
16,55,node55
0,56,node56
0,57,node57
28,58,node58
5,59,node59
5,60,node60
8,61,node61
6,62,node62
0,63,node63
4,64,node64
6,65,node65
5,66,node66
6,67,node67
10,68,node68
0,69,node69
3,70,node70
58,71,node71
6,72,node72
11,73,node73
29,74,node74
5,75,node75
6,76,node76
7,77,node77
4,78,node78
428,79,node79
9,80,node80
6,81,node81
4,82,node82
0,83,node83
6,84,node84
0,85,node85
0,86,node86
15,87,node87
61,88,node88
6,89,node89
43,90,node90
6,91,node91
14,92,node92
0,93,node93
6,94,node94
5,95,node95
5,96,node96
36,97,node97
0,98,node98
0,99,node99
43,100,node100
15,101,node101
45,102,node102
5,103,node103
91,104,node104
3,105,node105
5,106,node106
6,107,node107
44,108,node108
13,109,node109
0,110,node110
0,111,node111
0,112,node112
3,113,node113
26,114,node114
218,115,node115
7,116,node116
34,117,node117
6,118,node118
0,119,node119
51,120,node120
5,121,node121
4,122,node122
18,123,node123
0,124,node124
7,125,node125
5,126,node126
393,127,node127
6,128,node128
26,129,node129
0,130,node130
4,131,node131
38,132,node132
19,133,node133
5,134,node134
3,135,node135
0,136,node136
0,137,node137
29,138,node138
15,139,node139
7,140,node140
6,141,node141
131,142,node142
5,143,node143
0,144,node144
53,145,node145
0,146,node146
5,147,node147
7,148,node148
4,149,node149
45,150,node150
0,151,node151
4,152,node152
19,153,node153
29,154,node154
31,155,node155
6,156,node156
0,157,node157
0,158,node158
17,159,node159
5,160,node160
6,161,node161
9,162,node162
27,163,node163
34,164,node164
0,165,node165
0,166,node166
51,167,node167
0,168,node168
232,169,node169
87,170,node170
413,171,node171
38,172,node172
45,173,node173
7,174,node174
7,175,node175
7,176,node176
5,177,node177
17,178,node178
7,179,node179
18,180,node180
38,181,node181
3,182,node182
7,183,node183
11,184,node184
0,185,node185
0,186,node186
0,187,node187
41,188,node188
4,189,node189
0,190,node190
18,191,node191
90,192,node192
0,193,node193
0,194,node194
8,195,node195
8,196,node196
6,197,node197
59,198,node198
0,199,node199
5,200,node200
6,201,node201
0,202,node202
0,203,node203
30,204,node204
0,205,node205
0,206,node206
9,207,node207
8,208,node208
4,209,node209
8,210,node210
16,211,node211
5,212,node212
