elevation,system:index,name
11,0,node0
38,1,node1
33,2,node2
29,3,node3
0,4,node4
14,5,node5
0,6,node6
37,7,node7
8,8,node8
6,9,node9
10,10,node10
10,11,node11
8,12,node12
10,13,node13
13,14,node14
13,15,node15
0,16,node16
0,17,node17
0,18,node18
0,19,node19
0,20,node20
0,21,node21
0,22,node22
0,23,node23
0,24,node24
0,25,node25
0,26,node26
15,27,node27
0,28,node28
0,29,node29
4,30,node30
0,31,node31
25,32,node32
0,33,node33
0,34,node34
0,35,node35
0,36,node36
0,37,node37
0,38,node38
0,39,node39
0,40,node40
0,41,node41
0,42,node42
0,43,node43
0,44,node44
0,45,node45
0,46,node46
0,47,node47
0,48,node48
0,49,node49
0,50,node50
0,51,node51
9,52,node52
0,53,node53
24,54,node54
20,55,node55
0,56,node56
0,57,node57
0,58,node58
0,59,node59
0,60,node60
0,61,node61
0,62,node62
0,63,node63
0,64,node64
0,65,node65
0,66,node66
0,67,node67
0,68,node68
0,69,node69
0,70,node70
0,71,node71
16,72,node72
0,73,node73
0,74,node74
0,75,node75
0,76,node76
25,77,node77
0,78,node78
0,79,node79
43,80,node80
0,81,node81
0,82,node82
0,83,node83
0,84,node84
0,85,node85
0,86,node86
0,87,node87
6,88,node88
0,89,node89
0,90,node90
0,91,node91
0,92,node92
10,93,node93
6,94,node94
0,95,node95
0,96,node96
0,97,node97
0,98,node98
0,99,node99
0,100,node100
0,101,node101
18,102,node102
0,103,node103
14,104,node104
0,105,node105
0,106,node106
0,107,node107
0,108,node108
0,109,node109
26,110,node110
0,111,node111
0,112,node112
0,113,node113
0,114,node114
0,115,node115
0,116,node116
0,117,node117
0,118,node118
0,119,node119
0,120,node120
33,121,node121
0,122,node122
0,123,node123
5,124,node124
9,125,node125
0,126,node126
0,127,node127
0,128,node128
0,129,node129
0,130,node130
0,131,node131
0,132,node132
0,133,node133
0,134,node134
0,135,node135
15,136,node136
0,137,node137
0,138,node138
0,139,node139
0,140,node140
0,141,node141
0,142,node142
0,143,node143
0,144,node144
0,145,node145
0,146,node146
0,147,node147
0,148,node148
0,149,node149
0,150,node150
0,151,node151
0,152,node152
0,153,node153
0,154,node154
0,155,node155
0,156,node156
0,157,node157
12,158,node158
17,159,node159
7,160,node160
