discrete_classification,discrete_classification-proba,bare-coverfraction,urban-coverfraction,crops-coverfraction,grass-coverfraction,moss-coverfraction,water-permanent-coverfraction,water-seasonal-coverfraction,shrub-coverfraction,snow-coverfraction,tree-coverfraction,forest_type,data-density-indicator,system:index,name
200,,,,,,,,,,,,,,0,node0
40,96,0,0,100,0,0,0,0,0,0,0,,82,1,node1
40,88,0,0,81,0,0,0,95,0,0,19,0,82,2,node2
126,32,8,0,19,29,0,0,0,10,0,34,0,79,3,node3
40,97,0,0,96,0,0,0,2,4,0,0,,81,4,node4
112,99,0,0,0,4,0,0,0,0,0,96,2,75,5,node5
40,97,0,0,91,0,0,0,0,7,0,2,0,82,6,node6
200,,,,,,,,,,,,,,7,node7
112,99,0,0,0,10,0,0,0,0,0,90,2,71,8,node8
122,48,0,18,0,19,0,0,0,8,0,55,2,75,9,node9
40,60,0,51,33,4,0,0,0,2,0,10,0,76,10,node10
50,,0,91,9,0,0,0,21,0,0,0,,81,11,node11
50,,0,87,13,0,0,0,2,0,0,0,,78,12,node12
112,100,0,0,0,0,0,0,0,0,0,100,2,74,13,node13
40,98,0,44,56,0,0,0,26,0,0,0,,82,14,node14
126,37,0,0,19,18,0,0,0,13,0,50,0,75,15,node15
112,86,0,0,0,0,0,0,0,0,0,100,2,80,16,node16
200,,,,,,,,,,,,,,17,node17
112,84,0,14,0,6,0,0,0,0,0,80,2,76,18,node18
40,70,0,8,72,6,0,0,0,5,0,9,0,79,19,node19
200,,,,,,,,,,,,,,20,node20
50,,0,92,0,7,0,0,0,0,0,1,0,71,21,node21
40,94,0,0,100,0,0,0,98,0,0,0,,80,22,node22
40,91,0,0,86,0,0,0,0,0,0,14,0,82,23,node23
200,,,,,,,,,,,,,,24,node24
40,99,0,51,49,0,0,0,9,0,0,0,,81,25,node25
112,100,0,0,0,0,0,0,0,0,0,100,2,36,26,node26
126,32,3,36,19,16,0,0,0,9,0,17,0,76,27,node27
112,81,0,0,0,24,0,0,0,0,0,76,2,86,28,node28
40,32,8,0,20,22,0,0,0,12,0,38,0,79,29,node29
40,97,0,0,93,0,0,0,27,0,0,7,0,82,30,node30
112,99,0,0,0,0,0,0,0,0,0,100,2,77,31,node31
200,,,,,,,,,,,,,,32,node32
40,95,0,0,92,0,0,0,0,0,0,8,0,86,33,node33
200,,,,,,,,,,,,,,34,node34
122,42,5,0,10,22,0,0,0,13,0,50,2,44,35,node35
80,,0,0,0,1,0,99,0,0,0,0,,78,36,node36
40,50,0,19,51,13,0,0,0,8,0,9,0,81,37,node37
200,,,,,,,,,,,,,,38,node38
200,,,,,,,,,,,,,,39,node39
126,38,0,0,17,21,0,0,0,17,0,45,0,76,40,node40
40,96,0,0,98,0,0,0,9,0,0,2,0,83,41,node41
112,99,0,0,0,10,0,0,0,0,0,90,2,79,42,node42
50,,0,72,28,0,0,0,0,0,0,0,,72,43,node43
40,76,0,8,81,0,0,0,0,5,0,6,0,87,44,node44
112,99,0,0,0,8,0,0,0,0,0,92,2,76,45,node45
112,78,0,0,0,34,0,0,0,0,0,66,2,77,46,node46
112,98,0,4,0,8,0,0,0,0,0,88,2,76,47,node47
200,,,,,,,,,,,,,,48,node48
200,,,,,,,,,,,,,,49,node49
