discrete_classification,discrete_classification-proba,bare-coverfraction,urban-coverfraction,crops-coverfraction,grass-coverfraction,moss-coverfraction,water-permanent-coverfraction,water-seasonal-coverfraction,shrub-coverfraction,snow-coverfraction,tree-coverfraction,forest_type,data-density-indicator,system:index,name
126,32,0,12,24,14,0,0,27,3,0,47,0,59,0,node0
112,92,0,0,0,0,0,0,0,0,0,100,2,69,1,node1
112,100,0,0,0,0,0,0,0,0,0,100,2,34,2,node2
112,98,0,0,0,5,0,0,0,0,0,95,2,73,3,node3
200,,,,,,,,,,,,,,4,node4
112,79,0,0,0,0,0,0,0,0,0,100,2,70,5,node5
200,,,,,,,,,,,,,,6,node6
112,100,0,0,0,4,0,0,0,0,0,96,2,60,7,node7
50,,0,88,3,9,0,0,0,0,0,0,,76,8,node8
50,,0,100,0,0,0,0,0,0,0,0,,75,9,node9
112,72,0,0,0,17,0,0,0,0,0,83,2,76,10,node10
112,90,2,0,0,22,0,0,0,19,0,57,2,76,11,node11
126,37,0,0,20,16,0,0,0,15,0,49,0,76,12,node12
112,65,0,0,0,19,0,0,0,12,0,69,2,76,13,node13
112,80,2,0,0,13,0,0,0,0,0,85,2,76,14,node14
122,42,0,6,0,15,0,0,0,13,0,66,2,75,15,node15
50,,0,79,0,0,0,21,24,0,0,0,,82,16,node16
50,,0,79,0,0,0,21,24,0,0,0,,82,17,node17
50,,0,79,0,0,0,21,24,0,0,0,,82,18,node18
50,,0,79,0,0,0,21,24,0,0,0,,82,19,node19
50,,0,79,0,0,0,21,24,0,0,0,,82,20,node20
50,,0,79,0,0,0,21,24,0,0,0,,82,21,node21
50,,0,79,0,0,0,21,24,0,0,0,,82,22,node22
50,,0,79,0,0,0,21,24,0,0,0,,82,23,node23
200,,,,,,,,,,,,,,24,node24
200,,,,,,,,,,,,,,25,node25
200,,,,,,,,,,,,,,26,node26
80,,0,0,0,0,0,100,0,0,0,0,,87,27,node27
200,,,,,,,,,,,,,,28,node28
200,,,,,,,,,,,,,,29,node29
200,,,,,,,,,,,,,,30,node30
200,,,,,,,,,,,,,,31,node31
112,100,0,0,0,0,0,0,0,0,0,100,2,80,32,node32
200,,,,,,,,,,,,,,33,node33
200,,,,,,,,,,,,,,34,node34
200,,,,,,,,,,,,,,35,node35
200,,,,,,,,,,,,,,36,node36
200,,,,,,,,,,,,,,37,node37
200,,,,,,,,,,,,,,38,node38
200,,,,,,,,,,,,,,39,node39
200,,,,,,,,,,,,,,40,node40
200,,,,,,,,,,,,,,41,node41
200,,,,,,,,,,,,,,42,node42
200,,,,,,,,,,,,,,43,node43
200,,,,,,,,,,,,,,44,node44
80,,0,0,0,0,0,100,0,0,0,0,,83,45,node45
200,,,,,,,,,,,,,,46,node46
200,,,,,,,,,,,,,,47,node47
200,,,,,,,,,,,,,,48,node48
80,,6,4,0,27,0,63,15,0,0,0,,81,49,node49
200,,,,,,,,,,,,,,50,node50
200,,,,,,,,,,,,,,51,node51
126,40,0,0,0,29,0,43,12,0,0,28,0,91,52,node52
200,,,,,,,,,,,,,,53,node53
112,99,0,9,0,12,0,0,0,10,0,69,2,83,54,node54
126,33,0,12,3,29,0,0,0,11,0,45,0,81,55,node55
50,,0,79,0,0,0,21,24,0,0,0,,82,56,node56
50,,0,79,0,0,0,21,24,0,0,0,,82,57,node57
50,,0,79,0,0,0,21,24,0,0,0,,82,58,node58
50,,0,79,0,0,0,21,24,0,0,0,,82,59,node59
50,,0,79,0,0,0,21,24,0,0,0,,82,60,node60
50,,0,79,0,0,0,21,24,0,0,0,,82,61,node61
50,,0,79,0,0,0,21,24,0,0,0,,82,62,node62
50,,0,79,0,0,0,21,24,0,0,0,,82,63,node63
200,,,,,,,,,,,,,,64,node64
200,,,,,,,,,,,,,,65,node65
200,,,,,,,,,,,,,,66,node66
200,,,,,,,,,,,,,,67,node67
200,,,,,,,,,,,,,,68,node68
80,,0,0,0,0,0,100,0,0,0,0,,90,69,node69
200,,,,,,,,,,,,,,70,node70
200,,,,,,,,,,,,,,71,node71
126,40,0,22,4,24,0,0,0,12,0,38,0,83,72,node72
200,,,,,,,,,,,,,,73,node73
200,,,,,,,,,,,,,,74,node74
200,,,,,,,,,,,,,,75,node75
200,,,,,,,,,,,,,,76,node76
50,,0,85,0,10,0,0,0,0,0,5,0,87,77,node77
200,,,,,,,,,,,,,,78,node78
200,,,,,,,,,,,,,,79,node79
112,100,0,0,0,0,0,0,0,0,0,100,2,83,80,node80
200,,,,,,,,,,,,,,81,node81
80,,0,0,0,0,0,100,0,0,0,0,,82,82,node82
200,,,,,,,,,,,,,,83,node83
200,,,,,,,,,,,,,,84,node84
200,,,,,,,,,,,,,,85,node85
200,,,,,,,,,,,,,,86,node86
200,,,,,,,,,,,,,,87,node87
50,,0,96,0,1,0,0,0,0,0,3,0,81,88,node88
200,,,,,,,,,,,,,,89,node89
200,,,,,,,,,,,,,,90,node90
200,,,,,,,,,,,,,,91,node91
80,,0,0,0,0,0,100,0,0,0,0,,87,92,node92
30,27,1,39,3,27,0,0,0,5,0,25,0,81,93,node93
50,,0,80,0,13,0,0,0,3,0,4,0,77,94,node94
200,,,,,,,,,,,,,,95,node95
200,,,,,,,,,,,,,,96,node96
200,,,,,,,,,,,,,,97,node97
200,,,,,,,,,,,,,,98,node98
200,,,,,,,,,,,,,,99,node99
200,,,,,,,,,,,,,,100,node100
200,,,,,,,,,,,,,,101,node101
50,,0,64,0,16,0,0,0,2,0,18,0,82,102,node102
200,,,,,,,,,,,,,,103,node103
50,,0,92,0,2,0,0,0,0,0,6,0,81,104,node104
200,,,,,,,,,,,,,,105,node105
200,,,,,,,,,,,,,,106,node106
80,,0,0,0,0,0,100,0,0,0,0,,86,107,node107
200,,,,,,,,,,,,,,108,node108
200,,,,,,,,,,,,,,109,node109
200,,,,,,,,,,,,,,110,node110
200,,,,,,,,,,,,,,111,node111
200,,,,,,,,,,,,,,112,node112
200,,,,,,,,,,,,,,113,node113
200,,,,,,,,,,,,,,114,node114
200,,,,,,,,,,,,,,115,node115
200,,,,,,,,,,,,,,116,node116
200,,,,,,,,,,,,,,117,node117
200,,,,,,,,,,,,,,118,node118
200,,,,,,,,,,,,,,119,node119
200,,,,,,,,,,,,,,120,node120
116,49,0,0,0,20,0,24,0,0,0,56,0,77,121,node121
200,,,,,,,,,,,,,,122,node122
