discrete_classification,discrete_classification-proba,bare-coverfraction,urban-coverfraction,crops-coverfraction,grass-coverfraction,moss-coverfraction,water-permanent-coverfraction,water-seasonal-coverfraction,shrub-coverfraction,snow-coverfraction,tree-coverfraction,forest_type,data-density-indicator,system:index,name
50,,0,100,0,0,0,0,0,0,0,0,,68,0,node0
50,,0,100,0,0,0,0,0,0,0,0,,68,1,node1
50,,0,100,0,0,0,0,0,0,0,0,,68,2,node2
50,,0,100,0,0,0,0,0,0,0,0,,68,3,node3
50,,0,100,0,0,0,0,0,0,0,0,,68,4,node4
50,,0,100,0,0,0,0,0,0,0,0,,68,5,node5
50,,0,100,0,0,0,0,0,0,0,0,,68,6,node6
50,,0,100,0,0,0,0,0,0,0,0,,68,7,node7
50,,0,100,0,0,0,0,0,0,0,0,,68,8,node8
50,,0,100,0,0,0,0,0,0,0,0,,68,9,node9
50,,0,100,0,0,0,0,0,0,0,0,,68,10,node10
50,,0,100,0,0,0,0,0,0,0,0,,68,11,node11
50,,0,100,0,0,0,0,0,0,0,0,,68,12,node12
50,,0,100,0,0,0,0,0,0,0,0,,68,13,node13
50,,0,100,0,0,0,0,0,0,0,0,,68,14,node14
50,,0,100,0,0,0,0,0,0,0,0,,68,15,node15
50,,0,100,0,0,0,0,0,0,0,0,,68,16,node16
50,,0,100,0,0,0,0,0,0,0,0,,68,17,node17
50,,0,100,0,0,0,0,0,0,0,0,,68,18,node18
50,,0,100,0,0,0,0,0,0,0,0,,68,19,node19
50,,0,100,0,0,0,0,0,0,0,0,,68,20,node20
50,,0,100,0,0,0,0,0,0,0,0,,68,21,node21
50,,0,100,0,0,0,0,0,0,0,0,,68,22,node22
50,,0,100,0,0,0,0,0,0,0,0,,68,23,node23
50,,0,100,0,0,0,0,0,0,0,0,,68,24,node24
50,,0,100,0,0,0,0,0,0,0,0,,68,25,node25
50,,0,100,0,0,0,0,0,0,0,0,,68,26,node26
50,,0,100,0,0,0,0,0,0,0,0,,68,27,node27
50,,0,100,0,0,0,0,0,0,0,0,,68,28,node28
50,,0,100,0,0,0,0,0,0,0,0,,68,29,node29
50,,0,100,0,0,0,0,0,0,0,0,,68,30,node30
50,,0,100,0,0,0,0,0,0,0,0,,68,31,node31
50,,0,100,0,0,0,0,0,0,0,0,,68,32,node32
50,,0,100,0,0,0,0,0,0,0,0,,68,33,node33
50,,0,100,0,0,0,0,0,0,0,0,,68,34,node34
50,,0,100,0,0,0,0,0,0,0,0,,68,35,node35
50,,0,100,0,0,0,0,0,0,0,0,,68,36,node36
50,,0,100,0,0,0,0,0,0,0,0,,68,37,node37
50,,0,100,0,0,0,0,0,0,0,0,,68,38,node38
50,,0,100,0,0,0,0,0,0,0,0,,68,39,node39
50,,0,100,0,0,0,0,0,0,0,0,,68,40,node40
50,,0,100,0,0,0,0,0,0,0,0,,68,41,node41
50,,0,100,0,0,0,0,0,0,0,0,,68,42,node42
50,,0,100,0,0,0,0,0,0,0,0,,68,43,node43
50,,0,100,0,0,0,0,0,0,0,0,,68,44,node44
50,,0,100,0,0,0,0,0,0,0,0,,68,45,node45
50,,0,100,0,0,0,0,0,0,0,0,,68,46,node46
50,,0,100,0,0,0,0,0,0,0,0,,68,47,node47
50,,0,99,0,1,0,0,0,0,0,0,,67,48,node48
50,,0,100,0,0,0,0,0,0,0,0,,67,49,node49
50,,0,100,0,0,0,0,0,0,0,0,,67,50,node50
50,,0,98,0,2,0,0,0,0,0,0,,67,51,node51
50,,0,90,0,4,0,0,0,0,0,6,0,67,52,node52
50,,0,98,0,2,0,0,0,0,0,0,,67,53,node53
50,,0,100,0,0,0,0,0,0,0,0,,67,54,node54
50,,0,81,0,9,0,0,0,1,0,9,0,67,55,node55
50,,0,100,0,0,0,0,0,0,0,0,,68,56,node56
50,,0,100,0,0,0,0,0,0,0,0,,68,57,node57
50,,0,100,0,0,0,0,0,0,0,0,,68,58,node58
50,,0,100,0,0,0,0,0,0,0,0,,68,59,node59
50,,0,100,0,0,0,0,0,0,0,0,,68,60,node60
50,,0,100,0,0,0,0,0,0,0,0,,68,61,node61
50,,0,100,0,0,0,0,0,0,0,0,,68,62,node62
50,,0,100,0,0,0,0,0,0,0,0,,68,63,node63
50,,0,100,0,0,0,0,0,0,0,0,,67,64,node64
50,,0,100,0,0,0,0,0,0,0,0,,67,65,node65
50,,0,99,0,1,0,0,0,0,0,0,,67,66,node66
50,,0,81,0,9,0,0,0,1,0,9,0,67,67,node67
50,,0,100,0,0,0,0,0,0,0,0,,67,68,node68
50,,0,100,0,0,0,0,0,0,0,0,,67,69,node69
50,,0,100,0,0,0,0,0,0,0,0,,67,70,node70
50,,0,100,0,0,0,0,0,0,0,0,,67,71,node71
50,,0,100,0,0,0,0,0,0,0,0,,68,72,node72
50,,0,100,0,0,0,0,0,0,0,0,,68,73,node73
