discrete_classification,discrete_classification-proba,bare-coverfraction,urban-coverfraction,crops-coverfraction,grass-coverfraction,moss-coverfraction,water-permanent-coverfraction,water-seasonal-coverfraction,shrub-coverfraction,snow-coverfraction,tree-coverfraction,forest_type,data-density-indicator,system:index,name
200,,,,,,,,,,,,,,0,node0
200,,,,,,,,,,,,,,1,node1
200,,,,,,,,,,,,,,2,node2
50,,0,100,0,0,0,0,0,0,0,0,,77,3,node3
112,67,0,9,0,19,0,0,0,2,0,70,2,71,4,node4
200,,,,,,,,,,,,,,5,node5
200,,,,,,,,,,,,,,6,node6
112,96,0,0,4,8,0,0,0,7,0,81,2,78,7,node7
200,,,,,,,,,,,,,,8,node8
122,40,0,11,10,22,0,0,0,16,0,41,2,74,9,node9
200,,,,,,,,,,,,,,10,node10
200,,,,,,,,,,,,,,11,node11
200,,,,,,,,,,,,,,12,node12
40,51,0,0,57,18,0,0,0,14,0,11,0,44,13,node13
112,97,0,0,0,15,0,0,0,11,0,74,2,70,14,node14
112,98,0,0,0,6,0,0,0,0,0,94,2,69,15,node15
112,76,0,2,0,12,0,0,0,14,0,72,2,70,16,node16
200,,,,,,,,,,,,,,17,node17
40,58,6,0,58,22,0,0,0,6,0,8,0,60,18,node18
200,,,,,,,,,,,,,,19,node19
200,,,,,,,,,,,,,,20,node20
200,,,,,,,,,,,,,,21,node21
200,,,,,,,,,,,,,,22,node22
122,36,4,0,9,15,0,0,0,18,0,54,2,61,23,node23
112,100,0,0,0,0,0,0,0,0,0,100,2,63,24,node24
200,,,,,,,,,,,,,,25,node25
200,,,,,,,,,,,,,,26,node26
200,,,,,,,,,,,,,,27,node27
200,,,,,,,,,,,,,,28,node28
112,60,1,0,0,15,0,0,0,3,0,81,2,61,29,node29
50,,0,96,0,0,0,0,0,0,0,4,2,44,30,node30
112,70,0,0,0,12,0,0,0,0,0,88,2,68,31,node31
116,48,2,51,0,10,0,0,0,3,0,34,0,36,32,node32
200,,,,,,,,,,,,,,33,node33
200,,,,,,,,,,,,,,34,node34
200,,,,,,,,,,,,,,35,node35
112,79,0,0,0,15,0,0,0,0,0,85,2,82,36,node36
50,,0,100,0,0,0,0,0,0,0,0,,82,37,node37
200,,,,,,,,,,,,,,38,node38
200,,,,,,,,,,,,,,39,node39
200,,,,,,,,,,,,,,40,node40
112,98,0,0,0,17,0,0,0,0,0,83,2,62,41,node41
50,,0,100,0,0,0,0,0,0,0,0,,76,42,node42
200,,,,,,,,,,,,,,43,node43
50,,0,81,5,7,0,0,0,0,0,7,0,69,44,node44
200,,,,,,,,,,,,,,45,node45
200,,,,,,,,,,,,,,46,node46
80,,0,0,0,0,0,100,0,0,0,0,,71,47,node47
200,,,,,,,,,,,,,,48,node48
200,,,,,,,,,,,,,,49,node49
