nilai_hujan_max,tempoh_hujan,tempoh_ulang,latitude,longitude
96.5,2,9,6.1218,100.3786
100,3,15,6.1185,100.3753
100,3,15,6.1212,100.3878
100,3,15,6.1203,100.3891
100,3,15,6.1242,100.3886
100,3,15,6.1238,100.3913
100,3,15,6.1237,100.3898
76.5,1,10,6.1425,100.3541
76.5,1,10,6.1377,100.3614
76.5,1,10,6.144,100.3487
145,4,33,6.1263,100.3556
76.5,1,10,6.1327,100.3525
145,4,33,6.13314,100.3465
145,4,33,6.1506,100.4026
76.5,1,10,6.1303,100.3734
76.5,1,10,6.1092,100.3395
76.5,1,10,6.094,100.3451
96.5,2,9,6.1218,100.3786
145,4,33,6.1263,100.3556
145,4,33,6.1506,100.4026
145,4,33,6.1955,100.4293
65,3,"NORMA
L",5.2315,100.5409
111,3,15,5.2309,100.5479
111,3,15,5.2331,100.5547
41,3,NORMAL,5.2372,100.5472
41,3,NORMAL,5.4522,100.7343
68.5,1,5,5.5366,100.7581
68.5,1,5,5.4736,100.7362
68.5,1,5,5.1186,100.5269
72,1,8,5.1278,100.5069
72,1,8,5.1179,100.5291
72,1,8,5.1179,100.5291
72,1,8,5.0918,100.5552
72,1,8,5.0918,100.5552
72,1,8,5.5481,100.9128
94.5,2,14,5.5633,100.8936
94.5,2,14,5.5806,100.8847
94.5,2,14,5.5967,100.8661
94.5,2,14,5.5917,100.8758
1,1,NORMAL,5.5847,100.8906
94.5,2,14,5.5856,100.8856
94.5,2,14,5.5933,100.8553
94.5,2,14,5.5936,100.855
94.5,2,14,5.6011,100.8553
94.5,2,14,5.6075,100.8442
94.5,2,14,5.6108,100.8431
94.5,2,14,5.6158,100.8433
94.5,2,14,5.6258,100.8456
94.5,2,14,5.6281,100.8447
94.5,2,14,5.6208,100.8444
94.5,2,14,5.6361,100.8439
94.5,2,14,5.6361,100.8431
94.5,2,14,5.6075,100.8444
94.5,2,14,5.6058,100.8633
94.5,2,14,5.6206,100.799
94.5,2,14,5.6956,100.9125
94.5,2,14,5.5964,100.866
94.5,2,14,5.5872,100.7769
94.5,2,14,5.5925,100.7747
94.5,2,14,5.7464,100.9117
1,1,NORMAL,5.7656,100.9169
1,1,NORMAL,5.7308,100.9039
1,1,NORMAL,5.7147,100.9117
1,1,NORMAL,5.7033,100.9158
1,1,NORMAL,5.5847,100.8906
1,1,NORMAL,5.6531,100.8547
1,1,NORMAL,6.3288,99.8265
1,1,NORMAL,6.33,99.8187
1,1,NORMAL,5.1383,100.5866
65.5,2,2,5.9961,100.0902
96.5,2,9,6.0008,100.8449
96.5,2,9,6.1218,100.3786
100,3,15,6.1185,100.3753
100,3,15,6.1212,100.3878
100,3,15,6.1203,100.3891
100,3,15,6.1242,100.3886
100,3,15,6.1238,100.3913
100,3,15,6.1237,100.3898
100,3,15,5.9319,100.9042
87.5,1,17,5.8908,100.8961
87.5,1,17,5.8789,100.8936
87.5,1,17,5.8533,100.8867
87.5,1,17,5.8592,100.8897
87.5,1,17,5.8703,100.8917
87.5,1,17,5.8369,100.8886
87.5,1,17,5.7875,100.8967
87.5,1,17,5.7931,100.8994
87.5,1,17,5.3412,100.7692
57,3,NORMAL,5.6914,100.9444
57,3,NORMAL,5.6987,100.9515
57,3,NORMAL,5.6914,100.9535
57,3,NORMAL,5.6764,100.9261
57,3,NORMAL,5.6783,100.8672
57,3,NORMAL,5.6676,100.8616
57,3,NORMAL,5.912,100.6761
179,12,14,5.1809,100.5575
179,12,14,5.1809,100.5575
57,3,NORMAL,5.6266,100.5021
50,3,NORMAL,6.2011,100.5611
50,3,NORMAL,6.1483,100.5581
50,3,NORMAL,6.3911,99.7122
45,3,NORMAL,6.3007,100.4703
26.5,1,NORMAL,6.0787,100.5532
18.5,3,NORMAL,6.1873,100.3793
43,3,NORMAL,6.1856,100.3536
41.5,3,"NORMA
L",6.1756,100.3621
41,3,NORMAL,5.423,100.6424
41,3,NORMAL,5.4428,100.6556
41,3,NORMAL,5.4252,100.6627
41,3,NORMAL,5.4268,100.6656
41,3,NORMAL,5.4243,100.6621
41,3,NORMAL,5.4104,100.6585
41,3,NORMAL,5.4275,100.6568
65,3,"NORMA
L",5.2315,100.5409
111,3,15,5.2309,100.5479
111,3,15,5.2331,100.5547
60,3,NORMAL,6.2849,100.4185
74.5,3,"NORMA
L",6.2745,100.4108
51,1,NORMAL,5.5835,100.8909
26.5,1,NORMAL,5.5857,100.8866
26.5,1,NORMAL,5.5917,100.8761
26.5,1,NORMAL,5.5666,100.868
26.5,1,NORMAL,5.6058,100.8489
26.5,1,NORMAL,5.6078,100.8444
26.5,1,NORMAL,5.6159,100.8435
26.5,1,NORMAL,5.621,100.8445
26.5,1,NORMAL,6.0787,100.5532
55.5,3,NORMAL,5.9864,100.4894
55.5,3,NORMAL,5.9934,100.4864
55.5,3,NORMAL,5.9862,100.4864
55.5,3,NORMAL,5.9857,100.4883
71.5,1,6,5.9871,100.4838
55.5,3,NORMAL,6.0223,100.4784
55.5,3,NORMAL,6.0287,100.477
55.5,3,NORMAL,5.6878,100.8075
55.5,3,NORMAL,5.5197,100.7553
43,3,NORMAL,5.42297,100.6424
43,3,NORMAL,5.98644,100.4899
43,3,NORMAL,5.99342,100.4864
43,3,NORMAL,5.98622,100.4864
43,3,NORMAL,5.98567,100.4883
43,3,NORMAL,6.40122,100.4265
43,3,NORMAL,6.32983,99.8189
43,3,NORMAL,6.32858,99.8267
43,3,NORMAL,6.334,99.8158
43,3,NORMAL,6.3266,99.7834
43,3,NORMAL,6.3445,99.8274
43,3,NORMAL,6.3637,99.7524
43,3,NORMAL,6.3327,99.8154
43,3,NORMAL,6.3558,99.7319
43,3,NORMAL,6.4295,100.4292
18.5,3,NORMAL,6.4299,100.4284
18.5,3,NORMAL,6.4306,100.4286
18.5,3,NORMAL,6.1873,100.3793
43,3,NORMAL,6.1856,100.3536
41.5,3,"NORMA
L",6.1756,100.3621
71.5,1,6,6.289,100.4336
71.5,1,6,6.296,100.4377
37.5,2,NORMAL,6.1661,100.498
78,1,8,6.3258,99.7733
57,3,NORMAL,6.3328,99.7514
57,3,NORMAL,5.6266,100.5021
59,3,NORMAL,5.6373,100.5097
59,3,NORMAL,5.6355,100.5061
59,3,NORMAL,6.0839,100.5604
37.5,2,NORMAL,6.1661,100.498
37.5,2,NORMAL,6.084,100.5779
37.5,2,NORMAL,5.5979,100.7788
21,1,NORMAL,5.5859,100.7509
65,3,"NORMA
L",5.2315,100.5409
111,3,15,5.2309,100.5479
111,3,15,5.2331,100.5547
37.5,3,NORMAL,6.1403,100.3823
58.5,3,2,6.2548,100.2544
10,2,"NORMA
L",6.2523,100.266
10,2,"NORMA
L",6.2523,100.266
83,2,5,6.3936,100.3044
39.5,1,NORMAL,6.3994,100.3256
39.5,1,NORMAL,6.2244,100.5731
15,1,NORMAL,5.3883,100.5705
71,2,2,5.6783,100.6834
0.5,1,NORMAL,5.534,100.7801
0.5,1,NORMAL,5.4567,100.7422
41.5,3,"NORMA
L",6.1756,100.3621
50,2,NORMAL,6.3358,100.4391
71.5,1,6,6.289,100.4336
71.5,1,6,6.296,100.4377
71.5,1,6,6.2949,100.4373
71.5,1,6,6.2723,100.4316
71.5,1,6,5.9871,100.4838
96,1,35,5.9931,100.48
96,1,35,5.6524,100.5091
146,3,54,5.6637,100.5041
109.5,3,"NORMA
L",5.6315,100.5395
45,3,NORMAL,5.6283,100.5285
45,3,NORMAL,5.6376,100.5347
45,3,NORMAL,5.6294,100.5117
45,3,NORMAL,5.6005,100.4725
45,3,NORMAL,5.6355,100.5017
45,3,NORMAL,5.6355,100.5017
45,3,NORMAL,5.6047,100.5436
41,3,NORMAL,5.6349,100.5164
109.5,3,"NORMA
L",5.6327,100.5201
109.5,3,"NORMA
L",5.6327,100.5201
109.5,3,"NORMA
L",5.6372,100.5098
109.5,3,"NORMA
L",5.6355,100.5056
45,3,NORMAL,5.6253,100.5023
45,3,NORMAL,5.6504,100.4973
45,3,NORMAL,5.2243,100.6089
54,3,"NORMA
L",5.2354,100.5994
72.5,3,"NORMA
L",5.2146,100.6066
72.5,3,"NORMA
L",5.2355,100.6083
20,3,NORMAL,5.5269,100.6185
81,3,NORMAL,5.4955,100.6143
107,3,6,5.43,100.6462
66,1,8,5.4276,100.6415
66,1,8,5.4253,100.6677
66,1,8,5.3871,100.5651
66,1,8,5.5158,100.5432
66,1,8,5.4786,100.5523
66,1,8,5.4786,100.5465
66,1,8,5.4415,100.5778
66,1,8,5.4331,100.5559
66,1,8,5.4461,100.5523
66,1,8,5.418,100.55
66,1,8,5.4307,100.5525
66,1,8,5.4244,100.5569
66,1,8,5.4363,100.5783
66,1,8,5.4614,100.5636
66,1,8,5.4558,100.5659
66,1,8,5.4242,100.5354
66,1,8,5.3881,100.5704
66,1,8,5.3922,100.5746
66,1,8,5.3661,100.5559
66,1,8,5.3646,100.5549
66,1,8,5.3644,100.5546
66,1,8,5.3636,100.5542
66,1,8,5.3567,100.5424
66,1,8,5.3496,100.5354
66,1,8,5.3492,100.5346
66,1,8,5.4381,100.5369
83,1,18,5.9834,100.4823
83,1,18,5.9832,100.483
41,1,NORMAL,5.9915,100.4781
32,1,NORMAL,6.0019,100.5181
79,3,NORMAL,5.63759,100.5347
79,3,NORMAL,5.63302,100.5395
