date,negeri,code,daerah,kawasan_banjir,latitude,longitude,kedalaman_banjir_max,day,month,year
2/1/2021,Johor ,JHR,PONTIAN,Kg. Ulu Pulai,1.4808,103.572,0.4,2,1,2021
3/1/2021,Johor ,JHR,PONTIAN,Kg. Sri Gambut,1.6261,103.4498,0.4,3,1,2021
3/1/2021,Johor ,JHR,PONTIAN,Pt. Haji Yasin,1.7172,103.3275,0.4,3,1,2021
3/1/2021,Johor ,JHR,PONTIAN,Pt. Wak Jabir,1.7432,103.2649,0.4,3,1,2021
1/1/2021,Johor ,JHR,JOHOR BAHRU,Kg. Bukit Pulai,1.4793,103.9365,0.3,1,1,2021
1/1/2021,Johor ,JHR,JOHOR BAHRU,"Kg. Sentosa,
Masai",1.5218,103.9382,1.2,1,1,2021
1/1/2021,Johor ,JHR,JOHOR BAHRU,"Kg. Plentong
Baru",1.5182,103.8164,0.3,1,1,2021
1/1/2021,Johor ,JHR,JOHOR BAHRU,"Jalan Masai
Kong-kong, SK
Tmn Bukit
Dahlia",1.4862,103.8982,1.0,1,1,2021
2/1/2021,Johor ,JHR,KLUANG,"Kg Melayu
Sedenak",1.7145,103.5257,0.3,2,1,2021
2/1/2021,Johor ,JHR,KULAI,Kg Murni Jaya,1.7866,103.5434,0.3,2,1,2021
2/1/2021,Johor ,JHR,KULAI,"Kg Sungai
Siam",1.8015,103.4952,0.3,2,1,2021
2/1/2021,Johor ,JHR,KULAI,"Kg Jaya
Sepakat",1.5877,103.6521,0.5,2,1,2021
2/1/2021,Johor ,JHR,KULAI,"Kg Sepakat
Baru",1.5801,103.6586,0.5,2,1,2021
2/1/2021,Johor ,JHR,KULAI,Kg Pasir,1.6044,103.6488,0.5,2,1,2021
2/1/2021,Johor ,JHR,KULAI,Kg Sri Maju,1.608,103.6487,0.5,2,1,2021
2/1/2021,Johor ,JHR,KULAI,"Kg Melayu
Sengkang",1.6862,103.5742,0.5,2,1,2021
2/1/2021,Johor ,JHR,KULAI,"Kg Melayu
Bukit Batu",1.7306,103.437,0.5,2,1,2021
2/1/2021,Johor ,JHR,BATU PAHAT,Kg Sg Sedi,1.998,103.0798,0.3,2,1,2021
2/1/2021,Johor ,JHR,KOTA TINGGI,Kg Bukit Raja,1.3734,104.2253,1.0,2,1,2021
2/1/2021,Johor ,JHR,KOTA TINGGI,Kg Lepau,1.3968,104.1504,0.5,2,1,2021
2/1/2021,Johor ,JHR,KOTA TINGGI,"Kg Sri Delima
& Kg Sri Jaya,
Sg Telor.",1.7056,103.825,0.5,2,1,2021
2/1/2021,Johor ,JHR,KOTA TINGGI,"Kg Rantau
Panjang",1.7812,103.7376,0.4,2,1,2021
2/1/2021,Johor ,JHR,KOTA TINGGI,"Kg Semanggar
Luar & Dalam",1.7425,103.7824,0.7,2,1,2021
2/1/2021,Johor ,JHR,KOTA TINGGI,"Kampung
Muhibbah,
Tanjung
Serindit",1.5236,104.1443,0.5,2,1,2021
2/1/2021,Johor ,JHR,KOTA TINGGI,"Kg Baru, Sg
Mas",1.593,104.1445,0.5,2,1,2021
2/1/2021,Johor ,JHR,KOTA TINGGI,"Bandar
Penawar",1.5528,104.2224,0.5,2,1,2021
2/1/2021,Johor ,JHR,KOTA TINGGI,Kg Sedeli Kecil,1.8361,104.1403,0.5,2,1,2021
2/1/2021,Johor ,JHR,KOTA TINGGI,"Taman Aman,
Taman Mawai
& Batu 25",1.7388,103.9105,0.7,2,1,2021
2/1/2021,Johor ,JHR,KOTA TINGGI,"Kg Temenin,
Kg Sepak
Hulu, Kg
Sepak Hilir, Kg
Lukut & Kg
Batu 4",1.7864,103.8876,0.7,2,1,2021
2/1/2021,Johor ,JHR,KOTA TINGGI,"Kg Bukit Raja
& Taman Bayu
Damai",1.3918,104.2702,1.0,2,1,2021
2/1/2021,Johor ,JHR,KOTA TINGGI,"Kg Mawai & Kg
Hj Jambi",1.8508,103.9632,0.4,2,1,2021
3/1/2021,Johor ,JHR,KOTA TINGGI,"Bandar Kota
Tinggi",1.7302,103.9013,1.2,3,1,2021
3/1/2021,Johor ,JHR,KOTA TINGGI,"Taman Kuso &
Taman
Kemang",1.7292,103.8932,0.7,3,1,2021
3/1/2021,Johor ,JHR,KOTA TINGGI,"Kg Gembut &
Kg Sayang",1.8973,104.0518,0.5,3,1,2021
3/1/2021,Johor ,JHR,KOTA TINGGI,Kg Perpat,1.9567,104.0695,0.5,3,1,2021
3/1/2021,Johor ,JHR,SEGAMAT,"Kg. Bukit
Tunggal",2.4741,102.7367,0.4,3,1,2021
3/1/2021,Johor ,JHR,SEGAMAT,Kampung Jabi,2.5488,102.8201,0.5,3,1,2021
3/1/2021,Johor ,JHR,MERSING,Kg Air Papan,2.5001,103.8111,0.5,3,1,2021
4/1/2021,Johor ,JHR,SEGAMAT,Kg. Tengah,2.5322,102.8192,0.4,4,1,2021
"10/1/202
1",Johor ,JHR,KULAI,"Kg Melayu
Bukit Batu",1.7312,103.4384,0.5,10,1,"202
1"
