date,negeri,code,daerah,kawasan_banjir,latitude,longitude,kedalaman_banjir_max,day,month,year,line_check,geometry
20/6/2020,Sarawak,SRW,BATU PAHAT,Parit Besar,1.8846,102.9663,0.4,20,6,2020,1,POINT (102.9663 1.8846)
20/6/2020,Sarawak,SRW,BATU PAHAT,Kampung Parit Hj Salleh,1.8736,102.987,0.4,20,6,2020,1,POINT (102.987 1.8736)
20/6/2020,Sarawak,SRW,BATU PAHAT,Parit Jayus 3 dan 4,2.067,102.9426,0.4,20,6,2020,1,POINT (102.9426 2.067)
20/6/2020,Sarawak,SRW,BATU PAHAT,Parit Air Putih,2.0469,102.9043,0.4,20,6,2020,1,POINT (102.9043 2.0469)
20/6/2020,Sarawak,SRW,BATU PAHAT,Parit Bintang,1.8852,102.9663,0.4,20,6,2020,1,POINT (102.9663 1.8852)
20/6/2020,Sarawak,SRW,BATU PAHAT,Kampung Dalam Peserai,1.8569,102.9062,0.4,20,6,2020,1,POINT (102.9062 1.8569)
4/6/2020,Sarawak,SRW,JOHOR BAHRU,"Jalan Rosmerah, Johor Jaya",1.5308,103.7954,0.4,4,6,2020,1,POINT (103.7954 1.5308)
4/6/2020,Sarawak,SRW,JOHOR BAHRU,Kg Plentong,1.5144,103.8116,0.4,4,6,2020,1,POINT (103.8116 1.5144)
4/6/2020,Sarawak,SRW,JOHOR BAHRU,"Jalan Johor Bahru Ke Ulu Tiram, Desa
Cemerlang.",1.5513,103.8009,0.4,4,6,2020,1,POINT (103.8009 1.5513)
23/6/2020,Sarawak,SRW,KULAI,Kampung Melayu Bukit Batu,1.7292,103.4368,0.5,23,6,2020,1,POINT (103.4368 1.7292)
23/6/2020,Sarawak,SRW,PONTIAN,Pt. Abd. Rahman Laut,1.6318,103.2295,0.5,23,6,2020,1,POINT (103.2295 1.6318)
23/6/2020,Sarawak,SRW,PONTIAN,Pt. Sayang,1.6377,103.2626,0.5,23,6,2020,1,POINT (103.2626 1.6377)
23/6/2020,Sarawak,SRW,PONTIAN,Pt. Wak Jalal,1.618,103.2979,0.3,23,6,2020,1,POINT (103.2979 1.618)
23/6/2020,Sarawak,SRW,PONTIAN,Pt. Puteri Menangis,1.6617,103.304,0.5,23,6,2020,1,POINT (103.304 1.6617)
23/6/2020,Sarawak,SRW,PONTIAN,"Pt. Baran, Sanglang",1.6023,103.2838,0.3,23,6,2020,1,POINT (103.2838 1.6023)
23/6/2020,Sarawak,SRW,PONTIAN,Pt. Panjang,1.6126,103.3505,0.3,23,6,2020,1,POINT (103.3505 1.6126)
23/6/2020,Sarawak,SRW,PONTIAN,Lorong Mohsen,1.5763,103.3907,0.5,23,6,2020,1,POINT (103.3907 1.5763)
23/6/2020,Sarawak,SRW,PONTIAN,"Pt. Baran, Api-api",1.6163,103.2973,0.3,23,6,2020,1,POINT (103.2973 1.6163)
23/6/2020,Sarawak,SRW,PONTIAN,Pt. 4/15,1.623,103.3679,0.3,23,6,2020,1,POINT (103.3679 1.623)
23/6/2020,Sarawak,SRW,PONTIAN,Pt. 4/8,1.5191,103.3737,0.3,23,6,2020,1,POINT (103.3737 1.5191)
23/6/2020,Sarawak,SRW,PONTIAN,Pt. Kudus,1.5099,103.4099,0.3,23,6,2020,1,POINT (103.4099 1.5099)
23/6/2020,Sarawak,SRW,PONTIAN,Pt. Semerah,1.5008,103.3962,0.3,23,6,2020,1,POINT (103.3962 1.5008)
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Sri Gambut,1.6237,103.4625,0.5,23,6,2020,1,POINT (103.4625 1.6237)
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Pt. Mat Yakin,1.4937,103.444,0.3,23,6,2020,1,POINT (103.444 1.4937)
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Pt Pak Intan,1.6076,103.4117,0.3,23,6,2020,1,POINT (103.4117 1.6076)
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Pt Jerman,1.4167,103.4471,0.3,23,6,2020,1,POINT (103.4471 1.4167)
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Penerok,1.3771,103.4403,0.3,23,6,2020,1,POINT (103.4403 1.3771)
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Telok Kerang,1.4147,103.4224,0.3,23,6,2020,1,POINT (103.4224 1.4147)
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Sungai Bunyi,1.4756,103.4195,0.5,23,6,2020,1,POINT (103.4195 1.4756)
23/6/2020,Sarawak,SRW,PONTIAN,Kg. Tenggayun,1.4625,103.4257,0.3,23,6,2020,1,POINT (103.4257 1.4625)
5/7/2020,Sarawak,SRW,JOHOR BAHRU,Taman Damai Jaya,1.5063,103.6469,0.5,5,7,2020,1,POINT (103.6469 1.5063)
5/7/2020,Sarawak,SRW,JOHOR BAHRU,Kg. Tuah Jaya,1.4778,103.6787,0.3,5,7,2020,1,POINT (103.6787 1.4778)
13/7/2020,Sarawak,SRW,MUAR,Jln. Ismail/Sabak Awor,2.0733,102.5652,0.2,13,7,2020,1,POINT (102.5652 2.0733)
13/7/2020,Sarawak,SRW,MUAR,Jln. Dato Hj. Hassan/Jln. Bentayan,2.0443,102.5741,0.2,13,7,2020,1,POINT (102.5741 2.0443)
13/7/2020,Sarawak,SRW,MUAR,Jln. Bakariah,2.0687,102.5706,0.2,13,7,2020,1,POINT (102.5706 2.0687)
13/7/2020,Sarawak,SRW,MUAR,Jln. Abdul Rahman,2.0282,102.5599,0.2,13,7,2020,1,POINT (102.5599 2.0282)
13/7/2020,Sarawak,SRW,MUAR,Jln. Arab,2.0463,102.5693,0.2,13,7,2020,1,POINT (102.5693 2.0463)
13/7/2020,Sarawak,SRW,MUAR,Jln. Sg Abong,2.0601,102.5951,0.2,13,7,2020,1,POINT (102.5951 2.0601)
13/7/2020,Sarawak,SRW,MUAR,Jln. Hospital,2.0587,102.5758,0.2,13,7,2020,1,POINT (102.5758 2.0587)
13/7/2020,Sarawak,SRW,MUAR,Jln. Sakeh,2.0534,102.5816,0.2,13,7,2020,1,POINT (102.5816 2.0534)
13/7/2020,Sarawak,SRW,MUAR,Jln. Bakri,2.0485,102.5924,0.2,13,7,2020,1,POINT (102.5924 2.0485)
13/7/2020,Sarawak,SRW,MUAR,Jln. Hj Abdullah,2.0556,102.5934,0.2,13,7,2020,1,POINT (102.5934 2.0556)
13/7/2020,Sarawak,SRW,MUAR,Jln. Meriam,2.0445,102.5637,0.2,13,7,2020,1,POINT (102.5637 2.0445)
13/7/2020,Sarawak,SRW,MUAR,Bulatan Bakri,2.0478,102.594,0.2,13,7,2020,1,POINT (102.594 2.0478)
13/7/2020,Sarawak,SRW,MUAR,Jln. Pt. Buaya,2.0711,102.5984,0.2,13,7,2020,1,POINT (102.5984 2.0711)
13/7/2020,Sarawak,SRW,MUAR,Jln. Kg Tengah,2.0677,102.6037,0.2,13,7,2020,1,POINT (102.6037 2.0677)
13/7/2020,Sarawak,SRW,MUAR,Jln. Temenggong Ahmad,2.0231,102.5892,0.2,13,7,2020,1,POINT (102.5892 2.0231)
13/7/2020,Sarawak,SRW,MUAR,Jln. Salleh,2.0728,102.5784,0.2,13,7,2020,1,POINT (102.5784 2.0728)
13/7/2020,Sarawak,SRW,MUAR,Jln. Hj Jaib,2.044,102.5825,0.2,13,7,2020,1,POINT (102.5825 2.044)
13/7/2020,Sarawak,SRW,MUAR,Jln. Tengku Bendahara/Kg Kelantan,2.0379,102.5767,0.2,13,7,2020,1,POINT (102.5767 2.0379)
13/7/2020,Sarawak,SRW,MUAR,Kg. Pt. Raja,2.0254,102.6043,0.2,13,7,2020,1,POINT (102.6043 2.0254)
13/7/2020,Sarawak,SRW,MUAR,Kg. Pt Sakai,2.0095,102.5905,0.2,13,7,2020,1,POINT (102.5905 2.0095)
13/7/2020,Sarawak,SRW,MUAR,Pt. Perupok,2.0302,102.5755,0.2,13,7,2020,1,POINT (102.5755 2.0302)
13/7/2020,Sarawak,SRW,MUAR,Pt. Keroma,2.0268,102.5939,0.2,13,7,2020,1,POINT (102.5939 2.0268)
