slope,system:index,name
5.397916793823242,0,node0
5.397916793823242,1,node1
7.211829662322998,2,node2
5.397916793823242,3,node3
7.211829662322998,4,node4
5.397916793823242,5,node5
5.397916793823242,6,node6
5.397916793823242,7,node7
5.397916793823242,8,node8
7.211829662322998,9,node9
5.397916793823242,10,node10
5.397916793823242,11,node11
7.211829662322998,12,node12
7.211829662322998,13,node13
7.211829662322998,14,node14
7.211829662322998,15,node15
7.211829662322998,16,node16
5.397916793823242,17,node17
5.397916793823242,18,node18
7.211829662322998,19,node19
7.211829662322998,20,node20
7.211829662322998,21,node21
7.211829662322998,22,node22
5.397916793823242,23,node23
7.211829662322998,24,node24
5.397916793823242,25,node25
7.211829662322998,26,node26
5.397916793823242,27,node27
7.211829662322998,28,node28
7.211829662322998,29,node29
7.211829662322998,30,node30
5.397916793823242,31,node31
7.211829662322998,32,node32
5.397916793823242,33,node33
7.211829662322998,34,node34
5.397916793823242,35,node35
7.211829662322998,36,node36
5.397916793823242,37,node37
5.397916793823242,38,node38
5.397916793823242,39,node39
7.211829662322998,40,node40
7.211829662322998,41,node41
5.397916793823242,42,node42
5.397916793823242,43,node43
7.211829662322998,44,node44
7.211829662322998,45,node45
5.397916793823242,46,node46
5.397916793823242,47,node47
11.573673248291016,48,node48
17.89943504333496,49,node49
2.07551908493042,50,node50
9.891987800598145,51,node51
2.9343905448913574,52,node52
6.5348076820373535,53,node53
4.634293556213379,54,node54
13.280208587646484,55,node55
7.211829662322998,56,node56
7.211829662322998,57,node57
7.211829662322998,58,node58
7.211829662322998,59,node59
7.211829662322998,60,node60
5.397916793823242,61,node61
5.397916793823242,62,node62
5.397916793823242,63,node63
4.634293556213379,64,node64
2.9343833923339844,65,node65
10.466924667358398,66,node66
10.270700454711914,67,node67
5.853453636169434,68,node68
3.3437952995300293,69,node69
4.631802082061768,70,node70
2.9343833923339844,71,node71
7.211829662322998,72,node72
7.211829662322998,73,node73
7.211829662322998,74,node74
7.211829662322998,75,node75
7.211829662322998,76,node76
7.211829662322998,77,node77
7.211829662322998,78,node78
7.211829662322998,79,node79
9.605637550354004,80,node80
9.605637550354004,81,node81
7.210096836090088,82,node82
0.9288053512573242,83,node83
5.853452205657959,84,node84
2.6234817504882812,85,node85
9.111014366149902,86,node86
9.941795349121094,87,node87
5.397916793823242,88,node88
7.211829662322998,89,node89
7.211829662322998,90,node90
5.397916793823242,91,node91
5.397916793823242,92,node92
5.397916793823242,93,node93
7.211829662322998,94,node94
7.211829662322998,95,node95
5.397916793823242,96,node96
5.397916793823242,97,node97
5.397916793823242,98,node98
5.397916793823242,99,node99
7.211829662322998,100,node100
5.397916793823242,101,node101
7.211829662322998,102,node102
7.211829662322998,103,node103
5.397916793823242,104,node104
7.211829662322998,105,node105
7.211829662322998,106,node106
5.397916793823242,107,node107
5.397916793823242,108,node108
7.211829662322998,109,node109
7.211829662322998,110,node110
7.211829662322998,111,node111
7.211829662322998,112,node112
7.211829662322998,113,node113
7.211829662322998,114,node114
5.397916793823242,115,node115
5.397916793823242,116,node116
5.397916793823242,117,node117
7.211829662322998,118,node118
5.397916793823242,119,node119
7.211829662322998,120,node120
7.211829662322998,121,node121
5.397916793823242,122,node122
7.211829662322998,123,node123
5.397916793823242,124,node124
7.211829662322998,125,node125
7.211829662322998,126,node126
5.397916793823242,127,node127
7.211829662322998,128,node128
5.397916793823242,129,node129
5.397916793823242,130,node130
5.397916793823242,131,node131
7.211829662322998,132,node132
5.397916793823242,133,node133
5.397916793823242,134,node134
7.211829662322998,135,node135
18.880205154418945,136,node136
11.573673248291016,137,node137
7.935393333435059,138,node138
4.629864692687988,139,node139
5.623806476593018,140,node140
9.605637550354004,141,node141
3.3418691158294678,142,node142
5.853452205657959,143,node143
5.397916793823242,144,node144
7.211829662322998,145,node145
5.397916793823242,146,node146
7.211829662322998,147,node147
7.211829662322998,148,node148
7.211829662322998,149,node149
5.397916793823242,150,node150
7.211829662322998,151,node151
7.211829662322998,152,node152
5.397916793823242,153,node153
7.211829662322998,154,node154
7.211829662322998,155,node155
5.397916793823242,156,node156
5.397916793823242,157,node157
7.211829662322998,158,node158
5.397916793823242,159,node159
2.930866241455078,160,node160
7.931582927703857,161,node161
7.931582927703857,162,node162
7.884784698486328,163,node163
5.236000061035156,164,node164
4.14560604095459,165,node165
0.0,166,node166
17.89943504333496,167,node167
9.769993782043457,168,node168
5.631752014160156,169,node169
4.718869686126709,170,node170
7.884791851043701,171,node171
3.931791067123413,172,node172
5.631747722625732,173,node173
2.6234805583953857,174,node174
7.435814380645752,175,node175
4.141885280609131,176,node176
2.0736513137817383,177,node177
13.280208587646484,178,node178
0.9288053512573242,179,node179
4.725386619567871,180,node180
4.988520622253418,181,node181
10.2732515335083,182,node182
6.73049783706665,183,node183
7.211829662322998,184,node184
5.397916793823242,185,node185
5.397916793823242,186,node186
7.211829662322998,187,node187
7.211829662322998,188,node188
5.397916793823242,189,node189
7.211829662322998,190,node190
