nilai_hujan_max,tempoh_hujan,tempoh_ulang,kedalaman_banjir,distance
73,3,4,0.45,3353.993682
58.5,3,2,0.3,6305.115032
35,3,2,0.5,13990.53561
21,2,2,0.5,9091.210056
73,3,4,0.45,13326.67896
73,3,4,0.45,14476.90784
73,3,4,0.45,7204.315867
111,2,34,0.6,11186.74556
111,2,34,0.6,9215.782309
52,3,2,0.3,3684.052568
73,3,4,0.45,14028.05127
111,2,34,0.6,7976.039698
35,3,2,0.5,13006.05331
73,3,4,0.45,10867.74042
18,1,2,0.2,3975.167672
46,3,2,0.35,1286.364245
52,3,2,0.3,3015.95484
69,1,9,0.5,4023.929604
73,3,4,0.45,13310.61544
98,2,17,0.3,10597.80257
111,2,34,0.6,4037.218422
76,2,5,1,4014.033242
73,3,4,0.45,13003.9358
73,3,4,0.45,13713.16454
111,2,34,0.6,4177.308779
39.5,1,2,0.1,2829.751519
52,3,2,0.3,8002.613617
58.5,3,2,0.3,6807.804847
111,2,34,0.6,6795.996929
98,2,17,0.3,3163.04861
83,2,5,0.3,6765.808976
73,3,4,0.45,1082.543801
18,1,2,0.2,2859.406373
73,3,4,0.45,16173.2243
98,2,17,0.3,1525.496029
73,3,4,0.45,19335.81782
73,3,4,0.45,16941.1019
46,3,2,0.35,3033.434891
18,1,2,0.2,8132.287174
84.5,3,3,0.5,12388.08408
111,2,34,0.6,2508.462346
111,2,34,0.6,2961.056545
111,2,34,0.6,11329.9541
73,3,4,0.45,9656.401571
111,2,34,0.6,5081.176607
111,2,34,0.6,7367.999328
111,2,34,0.6,1863.043945
111,2,34,0.6,8239.296634
111,2,34,0.6,7097.158404
83,2,5,0.3,518.3405799
91,3,6,0.25,1167.522984
35,3,2,0.5,19211.05056
111,2,34,0.6,10062.40684
111,2,34,0.6,9600.508946
83,2,5,0.3,3588.940331
76,2,5,1,5125.7811
83,2,5,0.3,6568.463213
84.5,3,3,0.5,9866.805639
52,3,2,0.3,6481.219951
111,2,34,0.6,14119.12364
76,2,5,1,4582.788734
35,3,2,0.2,2084.097995
52,3,2,0.3,1381.091265
76,2,5,1,4232.279401
69,1,9,0.5,2516.884387
69,1,9,0.35,3960.041536
73,3,4,0.45,8119.436973
76,2,5,1,1834.130452
91,3,6,0.25,7781.084131
111,2,34,0.6,7485.910993
18,1,2,0.2,4747.855309
58.5,3,2,0.3,7922.152237
18,1,2,0.2,1291.128472
98,2,17,0.3,488.4816528
35,3,2,0.5,15429.33453
83,2,5,0.3,8354.224084
83,2,5,0.3,7503.71887
111,2,34,0.6,4430.979039
76,2,5,1,3064.587838
98,2,17,0.3,4907.955495
52,3,2,0.3,3524.507495
74.5,3,2,1,8024.328966
111,2,34,0.6,12158.34717
91,3,6,0.4,1418.891542
111,2,34,0.6,11655.93632
58.5,3,2,0.3,6513.950314
39.5,1,2,0.1,5717.522543
83,2,5,0.3,8053.792663
18,1,2,0.2,4967.930914
84.5,3,3,0.5,10399.73151
39.5,1,2,0.1,5610.641122
111,2,34,0.6,8314.228712
73,3,4,0.45,8265.355724
10,2,2,0.3,8527.617129
76,2,5,1,8280.678513
76,2,5,1,3035.220208
69,1,9,0.5,4452.582592
10,2,2,0.3,7854.04866
111,2,34,0.6,3541.192918
73,3,4,0.45,17380.07796
84.5,3,3,0.5,9978.812916
111,2,34,0.6,14338.32843
91,3,6,0.4,4944.631735
111,2,34,0.6,1491.71252
39.5,1,2,0.1,2407.802163
35,3,2,0.5,2284.409679
69,1,9,0.5,1148.076555
83,2,5,0.3,1878.369579
111,2,34,0.6,5253.248237
91,3,6,0.25,5783.215666
10,2,2,0.3,4602.350026
73,3,4,0.45,8453.522026
73,3,4,0.45,6842.46031
73,3,4,0.45,9687.750328
69,1,9,0.5,2384.040541
84.5,3,3,0.5,5036.633048
18,1,2,0.2,6621.590687
69,1,9,0.35,4899.21252
52,3,2,0.3,5293.018267
10,2,2,0.3,5504.677651
84.5,3,3,0.5,3190.637944
111,2,34,0.6,2656.905204
35,3,2,0.2,2858.439678
98,2,17,0.3,7076.219286
111,2,34,0.6,7323.418371
69,1,9,0.5,4684.255967
98,2,17,0.3,6429.485763
21,2,2,0.5,6077.755412
35,3,2,0.5,13354.40281
98,2,17,0.3,5106.515921
111,2,34,0.6,5809.551772
73,3,4,0.45,6804.791853
84.5,3,3,0.5,3844.787083
21,2,2,0.5,9580.816916
91,3,6,0.25,10275.26067
58.5,3,2,0.3,8154.126434
69,1,9,0.5,6315.158585
98,2,17,0.3,6386.943094
111,2,34,0.6,11437.89842
98,2,17,0.3,14616.90995
83,2,5,0.3,604.8870789
39.5,1,2,0.1,623.6496202
111,2,34,0.6,5038.381875
73,3,4,0.45,11647.29146
39.5,1,2,0.1,2841.3701
98,2,17,0.3,643.8734982
